cycle,event,id,type,temporal_reference,bank,hold_total
172,START,0,1,0,-1,0
1692822,START,1,2,3,-1,0
1692823,READY,0,1,0,0,0
2522650,READY,1,2,3,1,0
2522651,START,2,3,1,-1,0
3226552,READY,2,3,1,2,0
3226554,START,3,3,2,-1,0
3955645,READY,3,3,2,3,0
3955647,START,4,2,6,-1,0
4832669,READY,4,2,6,2,0
4914867,DISPLAY,2,3,1,2,82197
7915961,START,5,3,4,-1,3083291
7915961,DISPLAY,3,3,2,3,3083291
8642329,READY,5,3,4,2,3083291
9917961,DISPLAY,1,2,3,1,4358921
9917962,START,6,3,5,-1,4358922
10644413,READY,6,3,5,3,4358922
10644415,START,7,2,9,-1,4358922
11519306,READY,7,2,9,0,4358922
12922867,DISPLAY,5,3,4,2,5762482
14924868,START,8,3,7,-1,7764483
14924868,DISPLAY,6,3,5,3,7764483
15651512,READY,8,3,7,2,7764483
17925961,DISPLAY,4,2,6,2,10038930
17925962,START,9,3,8,-1,10038931
18652600,READY,9,3,8,3,10038931
18652602,START,10,2,11,-1,10038931
19526682,READY,10,2,11,1,10038931
19927961,DISPLAY,8,3,7,2,10440209
22932868,START,11,3,10,-1,13445116
22932868,DISPLAY,9,3,8,3,13445116
23659704,READY,11,3,10,2,13445116
24934868,DISPLAY,7,2,9,0,14720278
24935029,START,12,1,2,-1,14720279
26632327,START,13,3,0,-1,14720279
26632328,READY,12,1,2,2,14720279
27358950,READY,13,3,0,3,14720280
27935961,DISPLAY,11,3,10,2,15297289
29937961,DISPLAY,10,2,11,1,17299289
29937962,START,14,3,1,-1,17299290
30664552,READY,14,3,1,2,17299290
30664554,START,15,2,5,-1,17299290
31539224,READY,15,2,5,0,17299290
32942868,DISPLAY,13,3,0,3,18702933
34944868,START,16,3,3,-1,20704933
34944868,DISPLAY,14,3,1,2,20704933
35671485,READY,16,3,3,3,20704933
37945961,DISPLAY,12,1,2,2,22979407
37945962,START,17,3,4,-1,22979408
38672744,READY,17,3,4,2,22979408
38672746,START,18,2,8,-1,22979408
39547825,READY,18,2,8,1,22979408
39947961,DISPLAY,16,3,3,3,23379543
42952868,START,19,3,6,-1,26384450
42952868,DISPLAY,17,3,4,2,26384450
43679416,READY,19,3,6,3,26384450
44954868,DISPLAY,15,2,5,0,27659900
44954869,START,20,3,7,-1,27659901
45681336,READY,20,3,7,2,27659901
45681338,START,21,2,11,-1,27659901
46556113,READY,21,2,11,2,27659901
47955961,DISPLAY,19,3,6,3,29059748
49957961,START,22,3,9,-1,31061748
49957961,DISPLAY,20,3,7,2,31061748
50684600,READY,22,3,9,3,31061748
52962868,DISPLAY,18,2,8,1,33340014
52962869,START,23,3,10,-1,33340015
53689625,READY,23,3,10,2,33340015
53689787,START,24,1,2,-1,33340015
54964868,DISPLAY,22,3,9,3,33340015
55388259,START,25,3,0,-1,33340015
55388260,READY,24,1,2,0,33340015
57965961,DISPLAY,23,3,10,2,35917716
58692456,READY,25,3,0,3,35917717
59967961,DISPLAY,21,2,11,2,37193220
59967962,START,26,3,1,-1,37193221
60694505,READY,26,3,1,2,37193221
60694507,START,27,2,5,-1,37193221
61574457,READY,27,2,5,1,37193221
62972868,DISPLAY,25,3,0,3,38591631
64974868,START,28,3,3,-1,40593631
64974868,DISPLAY,26,3,1,2,40593631
65701992,READY,28,3,3,3,40593631
68978868,DISPLAY,24,1,2,0,43870505
68978869,START,29,3,4,-1,43870506
69706088,READY,29,3,4,2,43870506
69706090,START,30,2,6,-1,43870506
71047650,READY,30,2,6,2,43870506
71979962,DISPLAY,28,3,3,3,44802817
74984868,START,31,2,7,-1,47807723
74984868,DISPLAY,29,3,4,2,47807723
76061553,READY,31,2,7,0,47807723
76061554,START,32,2,8,-1,47807723
76986868,DISPLAY,27,2,5,1,47807723
79987962,DISPLAY,30,2,6,2,50808817
80427577,READY,32,2,8,1,50808817
80427578,START,33,2,9,-1,50808817
82992868,DISPLAY,32,2,8,1,53374106
84435782,READY,33,2,9,2,53374106
84435783,START,34,2,11,-1,53374106
84994868,DISPLAY,33,2,9,2,53933190
86684842,READY,34,2,11,0,53933190
86684843,START,35,3,10,-1,53933190
87943739,READY,35,3,10,2,53933190
87943901,START,36,1,0,-1,53933190
87995962,DISPLAY,35,3,10,2,53933190
89856613,START,37,2,1,-1,53933190
89856614,READY,36,1,0,1,53933190
89997962,DISPLAY,34,2,11,0,53933190
91199814,READY,37,2,1,2,53933190
91199815,START,38,2,2,-1,53933190
93002868,DISPLAY,37,2,1,2,55736242
94595454,READY,38,2,2,0,55736242
94595455,START,39,2,3,-1,55736242
96003962,DISPLAY,38,2,2,0,57144748
97924678,READY,39,2,3,1,57144748
97924679,START,40,2,4,-1,57144748
98005962,DISPLAY,39,2,3,1,57226030
100002018,READY,40,2,4,2,57226030
100002019,START,41,2,5,-1,57226030
101010869,DISPLAY,40,2,4,2,58234879
103029830,READY,41,2,5,0,58234879
103029831,START,42,2,6,-1,58234879
105014869,DISPLAY,41,2,5,0,60219916
107145017,READY,42,2,6,1,60219916
107145018,START,43,2,7,-1,60219916
108015962,DISPLAY,42,2,6,1,61090859
110271002,READY,43,2,7,2,61090859
110271003,START,44,2,8,-1,61090859
